,East Kootenay (5901)   01000,East Kootenay (5901)   01000.1,East Kootenay (5901)   01000.2,Central Kootenay (5903)   01000,Central Kootenay (5903)   01000.1,Central Kootenay (5903)   01000.2,Kootenay Boundary (5905)   01000,Kootenay Boundary (5905)   01000.1,Kootenay Boundary (5905)   01000.2,Okanagan-Similkameen (5907)   01000,Okanagan-Similkameen (5907)   01000.1,Okanagan-Similkameen (5907)   01000.2,Fraser Valley (5909)   00000,Fraser Valley (5909)   00000.1,Fraser Valley (5909)   00000.2,Greater Vancouver (5915)   00000,Greater Vancouver (5915)   00000.1,Greater Vancouver (5915)   00000.2,Capital (5917)   20000,Capital (5917)   20000.1,Capital (5917)   20000.2,Cowichan Valley (5919)   00000,Cowichan Valley (5919)   00000.1,Cowichan Valley (5919)   00000.2,Nanaimo (5921)   00000,Nanaimo (5921)   00000.1,Nanaimo (5921)   00000.2,Alberni-Clayoquot (5923)   01000,Alberni-Clayoquot (5923)   01000.1,Alberni-Clayoquot (5923)   01000.2,Strathcona (5924)   01001,Strathcona (5924)   01001.1,Strathcona (5924)   01001.2,Comox Valley (5926)   00001,Comox Valley (5926)   00001.1,Comox Valley (5926)   00001.2,Powell River (5927)   01000,Powell River (5927)   01000.1,Powell River (5927)   01000.2,Sunshine Coast (5929)   00000,Sunshine Coast (5929)   00000.1,Sunshine Coast (5929)   00000.2,Squamish-Lillooet (5931)   01000,Squamish-Lillooet (5931)   01000.1,Squamish-Lillooet (5931)   01000.2,Thompson-Nicola (5933)   00000,Thompson-Nicola (5933)   00000.1,Thompson-Nicola (5933)   00000.2,Central Okanagan (5935)   00000,Central Okanagan (5935)   00000.1,Central Okanagan (5935)   00000.2,North Okanagan (5937)   01000,North Okanagan (5937)   01000.1,North Okanagan (5937)   01000.2,Columbia-Shuswap (5939)   01000,Columbia-Shuswap (5939)   01000.1,Columbia-Shuswap (5939)   01000.2,Cariboo (5941)   00000,Cariboo (5941)   00000.1,Cariboo (5941)   00000.2,Mount Waddington (5943)   01000,Mount Waddington (5943)   01000.1,Mount Waddington (5943)   01000.2,Central Coast (5945)   01000,Central Coast (5945)   01000.1,Central Coast (5945)   01000.2,Skeena-Queen Charlotte (5947)   01000,Skeena-Queen Charlotte (5947)   01000.1,Skeena-Queen Charlotte (5947)   01000.2,Kitimat-Stikine (5949)   01001,Kitimat-Stikine (5949)   01001.1,Kitimat-Stikine (5949)   01001.2,Bulkley-Nechako (5951)   01000,Bulkley-Nechako (5951)   01000.1,Bulkley-Nechako (5951)   01000.2,Fraser-Fort George (5953)   00000,Fraser-Fort George (5953)   00000.1,Fraser-Fort George (5953)   00000.2,Peace River (5955)   00000,Peace River (5955)   00000.1,Peace River (5955)   00000.2,Stikine (5957)   01001,Stikine (5957)   01001.1,Stikine (5957)   01001.2,Northern Rockies (5959)   01000,Northern Rockies (5959)   01000.1,Northern Rockies (5959)   01000.2
0,47710,23780,23930,49770,24495,25280,26750,13015,13735,70890,33720,37165,225730,110830,114895,1958880,948010,1010870,313110,149050,164060,67995,32965,35025,127500,61155,66345,26200,13100,13095,36425,18055,18375,54455,26055,28400,17270,8505,8770,25000,11960,13035,31575,16415,15160,108820,53435,55385,153495,73690,79805,69160,33130,36030,43410,21445,21965,52155,26255,25900,9340,4880,4460,2580,1310,1275,15190,7730,7465,30150,15300,14845,31085,15820,15265,75635,37950,37685,47470,24340,23125,545,290,255,4390,2345,2045
1,30630,15330,15300,30080,15020,15060,16595,8300,8295,42995,21520,21475,135305,67675,67635,1106575,551405,555175,173840,86675,87170,41805,20840,20965,76800,38330,38470,14995,7500,7490,22400,11165,11230,33285,16575,16710,10350,5160,5185,15400,7690,7710,17945,8965,8985,64245,32145,32095,91410,45685,45725,41830,20890,20940,27460,13715,13745,32390,16210,16185,5525,2785,2740,1480,740,740,8350,4175,4180,17600,8805,8795,19395,9695,9695,43970,21975,21995,28960,14525,14440,300,150,150,2650,1330,1320
2,25095,12560,12530,24180,12100,12080,13720,6855,6865,36455,18250,18205,118360,59220,59145,970585,482590,487995,141980,70790,71195,34410,17160,17245,63780,31830,31945,11920,5960,5955,18010,8990,9025,27445,13675,13770,8340,4170,4170,12565,6285,6275,12820,6405,6415,52020,26060,25960,77305,38605,38705,35180,17575,17605,22725,11350,11375,25700,12870,12830,3995,2015,1980,1055,530,525,6085,3055,3030,13445,6730,6720,15805,7910,7895,35240,17635,17605,22410,11260,11155,190,100,95,1780,895,880
3,5540,2765,2770,5895,2920,2975,2870,1445,1430,6550,3270,3275,16945,8460,8485,135995,68815,67175,31860,15880,15980,7400,3675,3720,13015,6490,6525,3075,1540,1535,4390,2180,2210,5835,2890,2945,2010,995,1020,2830,1400,1435,5130,2560,2570,12225,6090,6135,14105,7080,7025,6650,3315,3340,4735,2365,2365,6690,3335,3350,1530,765,765,430,210,215,2270,1120,1145,4160,2075,2075,3585,1785,1800,8725,4335,4390,6550,3265,3285,110,55,55,870,430,440
4,17080,8455,8625,19695,9475,10220,10165,4715,5440,27890,12200,15685,90420,43155,47260,852300,396600,455695,139265,62380,76885,26185,12125,14065,50700,22830,27875,11205,5605,5605,14030,6885,7145,21170,9485,11690,6920,3340,3585,9600,4270,5330,13630,7455,6175,44580,21290,23285,62085,28005,34075,27325,12235,15090,15955,7725,8225,19770,10045,9720,3820,2100,1715,1105,565,535,6840,3555,3290,12550,6495,6050,11690,6125,5565,31665,15975,15690,18505,9815,8690,245,140,110,1740,1015,725
5,10060,5780,4275,11275,6365,4905,5355,3000,2350,13855,7570,6280,56710,31870,24835,586885,313200,273680,84295,45075,39220,14760,8120,6640,27670,15225,12445,6690,3805,2885,7905,4530,3375,11605,6275,5330,3620,2135,1480,5010,2735,2275,9995,5910,4085,26990,14890,12105,36745,19925,16810,15120,8230,6890,9100,5285,3810,11935,6835,5095,2380,1435,950,755,420,335,4655,2700,1955,8295,4800,3495,7780,4505,3280,20835,11850,8985,12595,7485,5115,140,85,60,1265,775,490
6,1330,640,685,1565,730,830,850,400,450,2045,905,1140,6810,2880,3930,48835,19980,28855,8580,3700,4880,2070,915,1150,3705,1595,2110,820,395,425,1170,530,640,1700,715,985,565,250,315,830,355,470,910,410,495,3415,1550,1865,4570,1910,2655,2210,915,1295,1200,570,630,1630,800,835,285,145,135,100,55,50,500,245,250,1100,545,555,925,460,465,2730,1215,1520,1410,670,745,20,5,10,160,80,85
7,2830,1360,1475,3690,1680,2010,1930,880,1055,5640,2335,3300,13880,5660,8220,119570,45130,74435,26420,9685,16725,5080,2150,2935,10310,4110,6190,2020,995,1030,2915,1335,1580,4395,1725,2675,1485,690,790,2075,820,1255,1735,870,865,7805,3405,4400,11175,4265,6905,5160,2055,3110,2890,1285,1605,3300,1690,1610,695,400,295,120,60,60,920,435,480,1600,795,810,1540,795,745,4530,2120,2410,2530,1250,1280,60,40,20,220,130,95
8,2860,670,2190,3165,700,2475,2030,440,1590,6355,1385,4965,13025,2740,10285,97010,18290,78725,19975,3920,16055,4280,935,3340,9020,1900,7115,1670,410,1260,2035,495,1545,3470,770,2700,1250,260,990,1680,365,1315,985,260,725,6370,1450,4920,9605,1905,7700,4835,1035,3800,2765,590,2170,2900,725,2175,460,125,335,125,35,90,770,170,600,1550,360,1190,1445,365,1080,3570,795,2780,1965,415,1550,20,5,15,95,35,60
9,17185,...,...,17220,...,...,9325,...,...,24310,...,...,78005,...,...,633460,...,...,100050,...,...,24190,...,...,44035,...,...,8945,...,...,13040,...,...,19145,...,...,5980,...,...,8710,...,...,10260,...,...,37590,...,...,52405,...,...,24070,...,...,15390,...,...,18825,...,...,3250,...,...,935,...,...,5290,...,...,10770,...,...,11220,...,...,26290,...,...,16540,...,...,175,...,...,1555,...,...
10,10090,...,...,10625,...,...,5755,...,...,16095,...,...,39065,...,...,294465,...,...,59645,...,...,14440,...,...,28235,...,...,5360,...,...,7875,...,...,11915,...,...,3875,...,...,5650,...,...,5365,...,...,21730,...,...,30760,...,...,14365,...,...,9580,...,...,11190,...,...,1820,...,...,520,...,...,2665,...,...,5600,...,...,5710,...,...,13870,...,...,8135,...,...,120,...,...,725,...,...
11,3285,...,...,3015,...,...,1610,...,...,3900,...,...,15405,...,...,148630,...,...,19790,...,...,4485,...,...,7755,...,...,1715,...,...,2440,...,...,3470,...,...,1040,...,...,1465,...,...,2205,...,...,7405,...,...,9665,...,...,4425,...,...,2680,...,...,3455,...,...,645,...,...,190,...,...,1205,...,...,2295,...,...,2170,...,...,5625,...,...,3545,...,...,35,...,...,365,...,...
12,2775,...,...,2605,...,...,1450,...,...,3110,...,...,15325,...,...,140635,...,...,15740,...,...,3725,...,...,5970,...,...,1295,...,...,1940,...,...,2705,...,...,760,...,...,1180,...,...,1970,...,...,6155,...,...,8735,...,...,3610,...,...,2235,...,...,2820,...,...,520,...,...,130,...,...,935,...,...,1875,...,...,2060,...,...,4805,...,...,3145,...,...,15,...,...,310,...,...
13,1030,...,...,975,...,...,520,...,...,1210,...,...,8210,...,...,49730,...,...,4875,...,...,1535,...,...,2075,...,...,570,...,...,780,...,...,1055,...,...,305,...,...,415,...,...,715,...,...,2305,...,...,3245,...,...,1675,...,...,895,...,...,1360,...,...,265,...,...,100,...,...,480,...,...,1005,...,...,1280,...,...,1985,...,...,1720,...,...,5,...,...,155,...,...
